ISO,continents,fao_regions,Year,FRA_forest_area_km2,WDI_land_surface_km2,Bonannella_land_surface_km2_6classes,Bonannella_land_surface_km2_20classes
DZA,Africa,Northern Africa,2015,19560,2381741,2308606.427,2308606.427
JOR,Asia,Western and Central Asia,2015,1444,88780,88338.96287,88338.96287
ARE,Asia,Western and Central Asia,2015,0,71020,77312.74351,77312.74351
QAT,Asia,Western and Central Asia,2015,0,11490,10527.29381,10527.29381
KWT,Asia,Western and Central Asia,2015,125,17820,15742.31216,15742.31216
IRQ,Asia,Western and Central Asia,2015,8953.5,434128,432456.4408,432456.4408
OMN,Asia,Western and Central Asia,2015,30,309500,305201.6368,305201.6368
VUT,Oceania,Oceania,2015,0,12190,5471.327736,5471.327736
KHM,Asia,South and Southeast Asia,2015,93910.9,176520,175710.9722,175710.9722
THA,Asia,South and Southeast Asia,2015,237630,510890,494595.3172,494595.3172
LAO,Asia,South and Southeast Asia,2015,169080,230800,226892.7977,226892.7977
MMR,Asia,South and Southeast Asia,2015,303984.6,653080,656514.3864,656514.3864
VNM,Asia,South and Southeast Asia,2015,179481.9,313383,320598.4579,320598.4579
PRK,Asia,East Asia,2015,71399.8,120410,121871.9557,121871.9557
KOR,Asia,East Asia,2015,86183.2,97445,91675.54937,91675.54937
MNG,Asia,South and Southeast Asia,2015,141859.8,1557255.4,1529465.552,1529465.552
IND,Asia,South and Southeast Asia,2015,806820,2973190,3063181.275,3063181.275
BGD,Asia,South and Southeast Asia,2015,20414.7,130170,122068.9277,122068.9277
BTN,Asia,South and Southeast Asia,2015,27354.5,38117,38003.66058,38003.66058
NPL,Asia,East Asia,2015,61826.3,143350,145005.4582,145005.4582
PAK,Asia,South and Southeast Asia,2015,41865,770880,848631.6174,848631.6174
AFG,Asia,Western and Central Asia,2015,12084.4,652230,647410.1364,647410.1364
TJK,Asia,Western and Central Asia,2015,5020.3,138790,126090.8785,126090.8785
KGZ,Asia,Western and Central Asia,2015,12518.1,191800,183201.8775,183201.8775
TKM,Asia,Western and Central Asia,2015,41270,469930,469303.9002,469303.9002
IRN,Asia,Western and Central Asia,2015,116329.8,1628760,1601283.794,1601283.794
SYR,Asia,Western and Central Asia,2015,7184.8,183630,183945.5259,183945.5259
ARM,Asia,Western and Central Asia,2015,3295.2,28470,27328.19887,27328.19887
SWE,Europe,Europe,2015,283620,407310.64,406581.1299,406581.1299
BLR,Europe,Europe,2015,86395.4,202978,206712.1198,206712.1198
UKR,Europe,Europe,2015,100250,579290,581968.731,581968.731
POL,Europe,Europe,2015,94240,306190,303104.8153,303104.8153
AUT,Europe,Europe,2015,38810,82520,84054.03162,84054.03162
HUN,Europe,Europe,2015,22017.8,91260,91131.3308,91131.3308
MDA,Europe,Europe,2015,3864,32880,32019.71406,32019.71406
ROU,Europe,Europe,2015,69009.6,230080,235825.7067,235825.7067
LTU,Europe,Europe,2015,21870,62650,62565.47357,62565.47357
LVA,Europe,Europe,2015,34039.1,62227,61870.27823,61870.27823
EST,Europe,Europe,2015,24277.4,43470,40912.94773,40912.94773
DEU,Europe,Europe,2015,114190,348860,348741.5802,348741.5802
BGR,Europe,Europe,2015,38330,108560,108695.5463,108695.5463
GRC,Europe,Europe,2015,40407,128900,111586.9269,111586.9269
TUR,Asia,Western and Central Asia,2015,223284.1,769630,762618.399,762618.399
ALB,Europe,Europe,2015,0,27400,27777.96919,27777.96919
HRV,Europe,Europe,2015,19968.4,55964,54949.92466,54949.92466
CHE,Europe,Europe,2015,12525.2,39516.03,43527.30352,43527.30352
LUX,Europe,Europe,2015,887,2574.46,2412.11715,2412.11715
BEL,Europe,Europe,2015,11276,30280,29859.34189,29859.34189
NLD,Europe,Europe,2015,3678.3,33670,33105.69344,33105.69344
PRT,Europe,Europe,2015,40070,91605.6,85816.24646,85816.24646
ESP,Europe,Europe,2015,195678.6,499661,487055.6078,487055.6078
IRL,Europe,Europe,2015,14124.7,68890,55175.33648,55175.33648
NCL,Oceania,Oceania,2015,8494.1,18280,15657.34384,15657.34384
SLB,Oceania,Oceania,2015,25511.7,27990,17365.83904,17365.83904
NZL,Oceania,Oceania,2015,118717.1,263310,253864.6212,253864.6212
AUS,Oceania,Oceania,2015,1350679,7682300,7618646.387,7618646.387
LKA,Asia,South and Southeast Asia,2015,23771.4,61893,60652.98417,60652.98417
CHN,Asia,East Asia,2015,2532560.8,9424701.4,9199220.031,9199220.031
TWN,Asia,East Asia,,,,33126.75997,33126.75997
ITA,Europe,Europe,2015,94235.2,295718,292657.2232,292657.2232
DNK,Europe,Europe,2015,8974.8,40000,35062.77364,35062.77364
